City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Jieshi,22.8134,115.8257,70.86,75,72,9.53,CN,2023-05-10 19:32:28
130,Fale Old Settlement,-9.3852,-171.2468,84.63,76,6,16.24,TK,2023-05-10 19:32:28
131,Talnakh,69.4865,88.3972,-8.41,84,12,2.42,RU,2023-05-10 19:32:33
132,San Patricio,28.017,-97.5169,89.08,61,64,7.02,US,2023-05-10 19:32:34
133,Isafjordur,66.0755,-23.124,42.8,93,100,1.63,IS,2023-05-10 19:32:34
134,Chandbali,20.7833,86.7667,81.86,77,30,7.85,IN,2023-05-10 19:32:34
135,General Pico,-35.6566,-63.7568,68.41,26,79,7.25,AR,2023-05-10 19:32:35
136,Namtsy,62.7161,129.6658,34.63,79,100,12.01,RU,2023-05-10 19:32:35
137,Chernyshevskiy,63.0128,112.4714,15.39,96,53,2.08,RU,2023-05-10 19:32:35
138,Kapuskasing,49.4169,-82.4331,71.69,24,0,12.66,CA,2023-05-10 19:32:35
139,Madzhalis,42.1217,47.8333,54.88,79,57,3.38,RU,2023-05-10 19:32:36
140,Nishinoomote,30.7333,131.0,67.32,59,100,5.08,JP,2023-05-10 19:32:36
141,Tshabong,-26.05,22.45,66.22,26,1,6.89,BW,2023-05-10 19:32:37
142,Port Alfred,-33.5906,26.891,69.64,57,9,10.29,ZA,2023-05-10 19:32:37
143,Quellon,-43.1167,-73.6167,57.45,94,75,8.05,CL,2023-05-10 19:32:37
144,Mahina,-17.5065,-149.489,83.97,70,75,4.61,PF,2023-05-10 19:32:37
145,El Rosario,24.2556,-107.1828,95.7,13,0,14.41,MX,2023-05-10 19:32:38
146,Gordonvale,-17.0936,145.7842,73.18,98,61,4.83,AU,2023-05-10 19:28:37
147,Qaqortoq,60.7167,-46.0333,41.7,85,100,2.48,GL,2023-05-10 19:32:38
148,Nelson Bay,-32.7167,152.15,55.0,92,95,11.01,AU,2023-05-10 19:32:38
149,Taoudenni,22.6783,-3.9836,94.73,11,100,12.3,ML,2023-05-10 19:32:38
150,Talcahuano,-36.7167,-73.1167,60.48,72,0,3.44,CL,2023-05-10 19:32:38
151,Heber City,40.5069,-111.4132,65.62,34,40,4.61,US,2023-05-10 19:32:39
152,Tura,25.5198,90.2201,75.76,64,0,4.9,IN,2023-05-10 19:32:39
153,Jamestown,42.097,-79.2353,67.51,39,0,14.97,US,2023-05-10 19:32:39
154,Plettenberg Bay,-34.0527,23.3716,68.31,40,3,7.11,ZA,2023-05-10 19:32:39
155,Kenai,60.5544,-151.2583,48.29,66,40,16.11,US,2023-05-10 19:32:39
156,Bodo,67.28,14.405,54.77,67,0,12.66,NO,2023-05-10 19:32:40
157,Hadibu,12.65,54.0333,84.18,64,47,4.05,YE,2023-05-10 19:32:40
158,Casas Grandes,30.3667,-107.95,79.56,7,0,23.62,MX,2023-05-10 19:32:40
159,Kavaratti,10.5669,72.642,85.28,67,72,6.46,IN,2023-05-10 19:32:40
160,Avarua,-21.2078,-159.775,78.85,73,75,12.66,CK,2023-05-10 19:32:40
161,Cestos City,5.46,-9.5828,80.55,85,84,5.28,LR,2023-05-10 19:32:40
162,Arkhangel'Sk,64.5401,40.5433,45.07,84,94,6.58,RU,2023-05-10 19:32:41
163,Gaoual,11.75,-13.2,85.23,51,98,4.61,GN,2023-05-10 19:32:41
164,Arraial Do Cabo,-22.9661,-42.0278,71.46,100,100,6.91,BR,2023-05-10 19:32:41
165,Nar'Yan-Mar,67.6713,53.087,23.41,90,80,2.21,RU,2023-05-10 19:32:41
166,Fortuna,40.5982,-124.1573,58.93,79,100,9.22,US,2023-05-10 19:32:41
167,Bandarbeyla,9.4942,50.8122,81.28,87,100,3.62,SO,2023-05-10 19:30:28
168,Seminole,28.7086,-81.2081,96.39,47,0,8.05,US,2023-05-10 19:32:42
169,Newberg,45.3001,-122.9732,71.31,56,0,4.61,US,2023-05-10 19:32:42
170,Mogocha,53.7333,119.7667,45.84,51,100,2.19,RU,2023-05-10 19:32:42
171,Coari,-4.085,-63.1414,82.29,91,82,1.14,BR,2023-05-10 19:32:42
172,Airdrie,55.866,-3.9803,55.96,72,97,4.72,GB,2023-05-10 19:32:42
173,Ambodifotatra,-16.9833,49.85,78.64,76,23,10.07,MG,2023-05-10 19:32:42
174,Kendall West,25.7065,-80.4388,91.99,49,0,14.97,US,2023-05-10 19:32:42
175,Punta Arenas,-53.15,-70.9167,42.91,81,75,8.05,CL,2023-05-10 19:29:51
176,Vila Velha,-20.3297,-40.2925,80.55,75,20,4.61,BR,2023-05-10 19:28:55
177,At Taj,24.2049,23.2857,77.27,22,0,16.08,LY,2023-05-10 19:32:43
178,Mahibadhoo,3.7833,72.9667,83.21,78,100,14.7,MV,2023-05-10 19:32:43
179,Castillos,-34.1667,-53.8333,60.85,61,11,13.6,UY,2023-05-10 19:32:43
180,Floresta,-8.6011,-38.5686,90.48,31,12,10.96,BR,2023-05-10 19:32:43
181,Lisala,2.15,21.5167,73.31,85,92,0.92,CD,2023-05-10 19:32:44
182,Dolores,-36.3132,-57.6792,57.96,54,84,12.55,AR,2023-05-10 19:32:44
183,Iwaki,37.05,140.8833,48.13,88,68,1.01,JP,2023-05-10 19:32:44
184,Tres Isletas,-26.3407,-60.4321,77.16,35,0,5.95,AR,2023-05-10 19:32:44
185,Trinidad,-14.8333,-64.9,80.58,69,40,5.75,BO,2023-05-10 19:32:44
186,Ergani,38.2653,39.7621,60.3,58,94,3.53,TR,2023-05-10 19:32:44
187,Cururupu,-1.8283,-44.8683,82.0,75,88,3.98,BR,2023-05-10 19:32:45
188,Gargalianoi,37.0667,21.6333,64.35,91,100,2.06,GR,2023-05-10 19:32:45
189,Thinadhoo,0.5333,72.9333,82.63,80,98,12.48,MV,2023-05-10 19:30:00
190,Acarau,-2.8856,-40.12,80.8,83,64,10.11,BR,2023-05-10 19:32:45
191,La Passe,45.5549,-0.8967,59.23,79,100,11.92,FR,2023-05-10 19:32:45
192,Media Luna,20.1419,-77.435,86.58,58,82,6.96,CU,2023-05-10 19:32:45
193,Raychikhinsk,49.7838,129.4121,42.22,46,4,3.8,RU,2023-05-10 19:32:46
194,Chaman,30.9236,66.4512,76.95,12,66,3.6,PK,2023-05-10 19:32:46
195,Waddan,29.1614,16.139,66.6,66,0,16.2,LY,2023-05-10 19:32:46
196,Labuan,5.2767,115.2417,80.96,89,20,2.3,MY,2023-05-10 19:32:46
197,Carnarvon,-24.8667,113.6333,67.42,74,0,19.51,AU,2023-05-10 19:32:46
198,Bushtyno,48.0512,23.4858,47.91,75,100,5.37,UA,2023-05-10 19:32:46
199,Constantia,44.1833,28.65,43.7,72,6,7.25,RO,2023-05-10 19:32:46
