City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Atuona,PF,2022-07-28 19:40:39,light rain,-9.8,-139.0333,76.73,77,28,24.96
92,Sioux Lookout,CA,2022-07-28 19:38:26,broken clouds,50.1001,-91.917,60.87,88,75,8.05
93,Anadyr,RU,2022-07-28 19:40:22,scattered clouds,64.75,177.4833,52.3,81,40,11.18
94,Sangar,RU,2022-07-28 19:41:39,clear sky,63.9242,127.4739,65.97,73,6,1.12
95,Manoel Urbano,BR,2022-07-28 19:41:40,scattered clouds,-8.8389,-69.2597,95.54,28,26,0.65
96,Ribeira Grande,PT,2022-07-28 19:37:31,broken clouds,38.5167,-28.7,75.6,69,75,6.91
97,Novoagansk,RU,2022-07-28 19:41:40,clear sky,61.9449,76.6625,53.91,84,7,6.71
98,Beloha,MG,2022-07-28 19:41:41,clear sky,-25.1667,45.05,63.59,84,4,11.52
99,Puerto Ayora,EC,2022-07-28 19:41:41,broken clouds,-0.7393,-90.3518,78.76,89,77,10.0
100,Tromso,NO,2022-07-28 19:41:28,broken clouds,69.6496,18.957,51.82,76,75,2.3
101,Ketchikan,US,2022-07-28 19:41:42,clear sky,55.3422,-131.6461,72.72,55,1,7.11
102,Hilo,US,2022-07-28 19:38:30,few clouds,19.7297,-155.09,84.27,76,20,3.44
103,Broken Hill,AU,2022-07-28 19:41:42,overcast clouds,-31.95,141.4333,45.0,52,100,6.85
104,Nemuro,JP,2022-07-28 19:41:42,broken clouds,43.3236,145.575,59.38,94,83,4.81
105,Riyadh,SA,2022-07-28 19:41:30,overcast clouds,24.6877,46.7219,93.34,36,100,5.23
106,Ushuaia,AR,2022-07-28 19:37:02,broken clouds,-54.8,-68.3,46.06,53,75,17.27
107,Dikson,RU,2022-07-28 19:38:19,overcast clouds,73.5069,80.5464,43.39,100,100,15.93
108,Mount Darwin,ZW,2022-07-28 19:41:43,clear sky,-16.7725,31.5838,56.88,33,0,7.76
109,Port Alfred,ZA,2022-07-28 19:41:44,clear sky,-33.5906,26.891,63.18,86,1,1.01
110,Nantucket,US,2022-07-28 19:40:25,clear sky,41.2835,-70.0995,82.54,81,0,13.8
111,Avarua,CK,2022-07-28 19:41:45,broken clouds,-21.2078,-159.775,77.05,78,75,21.85
112,Klaksvik,FO,2022-07-28 19:41:45,broken clouds,62.2266,-6.589,54.52,91,84,15.01
113,Cortez,US,2022-07-28 19:38:02,scattered clouds,37.3489,-108.5859,81.93,46,40,10.36
114,Emba,KZ,2022-07-28 19:41:19,scattered clouds,48.8264,58.1442,74.91,47,36,5.23
115,Cherskiy,RU,2022-07-28 19:37:39,clear sky,68.75,161.3,53.74,50,7,4.0
116,Vaini,TO,2022-07-28 19:37:45,few clouds,-21.2,-175.2,73.56,100,20,6.91
117,Saskylakh,RU,2022-07-28 19:41:46,light rain,71.9167,114.0833,61.2,82,100,6.11
118,Srikakulam,IN,2022-07-28 19:41:46,clear sky,18.3,83.9,81.68,79,9,5.01
119,Bonavista,CA,2022-07-28 19:41:47,overcast clouds,48.6499,-53.1147,54.66,87,98,16.87
120,Faanui,PF,2022-07-28 19:38:32,light rain,-16.4833,-151.75,79.39,71,1,24.65
121,Saint-Joseph,RE,2022-07-28 19:41:47,clear sky,-21.3667,55.6167,66.2,82,2,9.22
122,Canavieiras,BR,2022-07-28 19:41:48,clear sky,-15.675,-38.9472,78.76,74,2,5.68
123,Coquimbo,CL,2022-07-28 19:39:56,clear sky,-29.9533,-71.3436,60.53,67,0,11.5
124,Praya,CV,2022-07-28 19:38:46,clear sky,14.9215,-23.5087,90.14,31,0,9.22
125,Ulladulla,AU,2022-07-28 19:41:49,overcast clouds,-35.35,150.4667,47.48,83,89,6.51
126,Aripuana,BR,2022-07-28 19:41:49,clear sky,-9.1667,-60.6333,96.64,19,3,0.94
