City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Batasan,PH,81.54,overcast clouds,12.7667,120.7833,Solwara Beach Resort
140,Cabcaben,PH,83.14,heavy intensity rain,14.454,120.5914,villa carmen beach resort
141,Karamadai,IN,79.18,overcast clouds,11.2406,76.9601,Annai Mess and catering service
143,Frontera Comalapa,MX,82.36,overcast clouds,15.65,-92.1333,Hotel del Angel
148,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
153,Guerrero Negro,MX,75.4,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
154,Madingou,CG,83.46,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
163,Prince George,CA,77.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
166,Kutum,SD,83.44,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
169,Buala,SB,79.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
173,Dieppe,FR,77.18,overcast clouds,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
174,Tigzirt,DZ,84.49,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
179,Rubizhne,UA,80.6,broken clouds,49.0123,38.3797,Stanytsya
182,Lazi,UA,80.4,broken clouds,48.0667,24.2333,Olenka
183,Mbanza-Ngungu,CD,78.84,scattered clouds,-5.25,14.8667,Hotel Full Business
186,Katsuura,JP,79.16,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
190,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
193,Padang,ID,78.08,overcast clouds,-0.9492,100.3543,Mercure Padang
197,Mankono,CI,80.17,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
202,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
203,Beyneu,KZ,75.2,light rain,45.3167,55.2,NUR
204,Atuona,PF,75.9,light rain,-9.8,-139.0333,Villa Enata
210,Portland,US,81.99,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
214,Harper,LR,77.38,broken clouds,4.375,-7.7169,Screensaver
226,Faya,SA,75.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
232,Tecoanapa,MX,84.27,overcast clouds,16.5167,-98.75,Hotel Manglares
236,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
244,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
249,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
250,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
251,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
252,Rabo De Peixe,PT,78.31,few clouds,37.8,-25.5833,Quinta das Giestas
253,Bandarbeyla,SO,77.23,clear sky,9.4942,50.8122,JABIR HOTEL
254,Sola,VU,80.31,broken clouds,-13.8833,167.55,Leumerus Bungalows
267,Mundi,IN,80.87,overcast clouds,22.0667,76.5,TIWARI NIWAS
271,Seabra,BR,78.22,few clouds,-12.4186,-41.7703,Cambuí Hotel
272,Saint John,CA,79.83,few clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
279,Kropotkin,RU,80.04,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
284,Los Llanos De Aridane,ES,76.12,few clouds,28.6585,-17.9182,Valle Aridane
286,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
289,Sur,OM,84.06,broken clouds,22.5667,59.5289,Sur Plaza Hotel
295,Dingle,PH,77.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
303,Muros,ES,77.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
304,Daru,PG,75.61,overcast clouds,-9.0763,143.2092,Daru Lodge
306,Port Angeles,US,77.22,scattered clouds,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
309,Tiznit,MA,82.06,clear sky,29.5833,-9.5, 
317,Ajdabiya,LY,84.13,clear sky,30.7554,20.2263,Almadina Hotel
